"Phase","Task ID","Title","Description","Definition of Done","Blocking","Man Days","Cumulative Days"
"INFRA","INFRA-01","docker-compose.yml","Create full local dev environment with Postgres+Redis+Ollama+Go+Python","✓ Postgres 16 with pgvector extension
✓ Redis 7 with NOEVICT + TTL policy
✓ Ollama running with llama3:8b + gemma2:2b + embedding model
✓ Go service port 8080, Python gRPC port 50051
✓ All services health-checked and auto-restart
✓ Volume mounts for code reload
✓ All 3 devs can spin up fresh local env in 5 minutes","GO-06 GO-14","2","2"
"INFRA","INFRA-02","Proto definition (agent.proto)","Write gRPC proto with AgentRequest + AgentResponse + SSE events","✓ agent.proto: AgentRequest message with all fields (session_id, message, options{})
✓ StreamAgent RPC (streaming response)
✓ InvokeAgent RPC (unary)
✓ All enums: EventType, AgentType, MemoryPolicy, SandboxBackend
✓ Generated Go code: agent.pb.go + agent_grpc.pb.go
✓ Proto validation: required fields, oneof constraints
✓ Unit tests: proto round-trip serialization","GO-06 GO-14","2","4"
"INFRA","INFRA-03","Config loader + validation","Load .env, validate all required fields at startup","✓ Support .env via godotenv
✓ Fail fast on startup if critical vars missing (POSTGRES_DSN, REDIS_ADDR, PYTHON_GRPC_ADDR)
✓ Type-safe config struct with defaults
✓ Env overrides for local dev (defaults point to docker-compose)
✓ Unit tests: valid config, missing required, type coercion
✓ Structured logging: startup config dump (no secrets)","GO-30","1","5"
"CORE-DB","DB-01","Postgres schema + migrations","All tables: agents, agent_permissions, memory_summary, memory_entity, memory_workflow, tool_log, pending_approvals, graph_checkpoints","✓ agents table: agent_id, owner_user_id, system_prompt, tools[], sub_agents[], memory_policy, model, is_public, created_at, updated_at, deleted_at
✓ agent_permissions table: user_id, agent_id, role
✓ memory_summary table: user_id-scoped, pgvector index on embedding
✓ memory_entity table: user_id-scoped, unique constraint
✓ memory_workflow table: agent_id-scoped, cosine distance index
✓ tool_log table: indexed by tool_name+error for circuit breaker
✓ pending_approvals table: thread_id+tool, TTL via created_at
✓ Migration0001_init.sql with rollback capability
✓ Integration test: schema validates, migrations run idempotent","DB-02 GO-07","3","8"
"CORE-DB","DB-02","Redis schema + TTL policies","Define key patterns: session:{session_id}, session_lock:{session_id}, tool_error:{tool_name}","✓ session:{session_id} = []json with 7-day TTL
✓ session_lock:{session_id} = UUID with 30s TTL
✓ tool_error:{tool_name} = counter with 1-hour rolling window
✓ Configure Redis NOEVICT policy + max-memory-policy
✓ Helper functions: set_with_ttl, get_history, increment_error_counter
✓ Integration test: TTL expiration, lock release, counter resets
✓ Stress test: 1000 concurrent session writes, check no eviction","GO-29","1.5","9.5"
"CORE-DB","DB-03","Database initialization","Create Postgres database, users, roles, and base setup","✓ CREATE DATABASE agent_harness
✓ CREATE ROLE dev_user, prod_user with appropriate permissions
✓ Set default schema search_path
✓ Configure connection limits per role
✓ Set statement_timeout, idle_in_transaction_session_timeout
✓ Enable necessary extensions: uuid-ossp (pre-pgvector)
✓ Unit test: database and roles created correctly
✓ Integration test: dev and prod users can connect","INFRA-03","1","10.5"
"CORE-DB","DB-04","pgvector extension setup","Install and configure pgvector for vector embeddings","✓ CREATE EXTENSION IF NOT EXISTS vector
✓ Verify pgvector version >= 0.5.0
✓ Test vector operations: <=> (cosine distance), @@ (inner product)
✓ Create vector type conversions for JSON embedding storage
✓ Benchmark: vector similarity query < 100ms on 100k rows
✓ Unit test: vector operations accurate
✓ Integration test: embeddings stored and queried correctly","DB-03","1","11.5"
"CORE-DB","DB-05","Connection pooling setup (pgbouncer)","Configure pgbouncer for Go + Python connection pooling","✓ Install pgbouncer (local or K8s sidecar)
✓ Configure pgbouncer.ini: pool_mode=transaction, max_client_conn=1000, default_pool_size=20
✓ Set appropriate reserved_pool_size, reserve_pool_timeout
✓ Connection string: Go → pgbouncer:6432 → Postgres:5432
✓ Health check: validate pgbouncer connectivity from Go handler
✓ Metrics: active_connections, waiting_clients, server_login_time
✓ Benchmark: connection acquisition < 10ms p95
✓ Integration test: concurrent connections pooled efficiently","DB-01","1.5","13"
"CORE-DB","DB-06","Backup and restore procedures","Document and test backup strategy with pg_dump and WAL archiving","✓ Full backup script: pg_dump with -F c (custom format)
✓ Incremental backups via WAL archiving (configure archive_command)
✓ Test restore procedure on separate DB instance
✓ Backup retention policy: daily for 7 days, weekly for 4 weeks
✓ Automate via cron job or K8s CronJob
✓ Monitor backup completion + size (alert if > 50% growth)
✓ Documentation: disaster recovery runbook with RTO/RPO targets
✓ Integration test: restore from backup completes successfully","DB-05","1.5","14.5"
"CORE-GRPC","GRPC-01","gRPC client pool","Round-robin pool with keepalive and connection health management","✓ Pool size: GRPC_POOL_SIZE env var (default 10, configurable)
✓ Round-robin selection with atomic counter
✓ Keepalive: ping every 120s, 10s timeout, max 3 retries
✓ Graceful reconnect on broken connection
✓ Max recv message: 10 MB with validation
✓ Per-pool metrics: active_conns, failed_dials, reconnect_count
✓ Unit tests: round-robin distribution, keepalive timeout, reconnect
✓ Integration test: kill Python, verify Go reconnects within 30s
✓ Load test: 100 concurrent /chat requests, measure pool utilization
✓ Race condition test: 10 goroutines dialing simultaneously","GO-06","5","19.5"
