Task ID,Title,Description,Definition of Done (DOD),Man Days
"GO-01","Circuit Breaker Middleware","Implement request-level circuit breaker with regex blocklist and embedding deny-list. Trip → HTTP 400 in <1ms without gRPC call","✓ Blocks malicious patterns via regex matching
✓ Maintains deny-list in Redis with TTL
✓ Returns HTTP 400 with request_id in logs
✓ Latency <1ms on trip
✓ Unit tests for regex patterns and allowlist/blocklist logic
✓ Integration test with actual Gin middleware","2"
"GO-02","JWT Authentication Middleware","Validate Bearer tokens before processing. Extract user_id and set in request context","✓ Parses Authorization header
✓ Validates token signature (JWKS endpoint or static key)
✓ Extracts user_id claim and injects into gRPC request
✓ Returns HTTP 401 for invalid/missing token
✓ Unit tests for valid/invalid/expired tokens
✓ Middleware integration test","1.5"
"GO-03","CORS Middleware","Implement origin allowlist with preflight request handling","✓ Accepts requests only from whitelisted origins
✓ Handles OPTIONS preflight requests
✓ Sets Access-Control headers correctly
✓ Configurable via env var (comma-separated list)
✓ Unit tests for allowed/denied origins
✓ Preflight response validation","1"
"GO-04","Rate Limiter","Implement per-IP token bucket rate limiting: 50 req/s, burst 100","✓ Uses token bucket algorithm
✓ Keyed by client IP (with X-Forwarded-For handling)
✓ Returns HTTP 429 when limit exceeded
✓ Burst of 100 requests allowed
✓ Resets every 1s per IP
✓ Unit tests for bucket behavior and burst handling
✓ Integration test under load","1.5"
"GO-05","Structured Logger","Implement JSON structured logging with request_id, session_id, latency_ms","✓ All requests logged as JSON to stdout
✓ Includes: request_id (UUID), session_id, method, path, latency_ms, user_id, status_code
✓ Error messages captured with stack trace
✓ Integration with container logging stack (Elasticsearch/Splunk)
✓ Unit test for log format
✓ Performance test: <1ms logging overhead","1"
"GO-06","gRPC Connection Pool","Implement round-robin pool with keepalive (120s ping, 10s timeout)","✓ Pool size = GRPC_POOL_SIZE env var (default 50)
✓ Round-robin selection across N connections
✓ Keepalive: ping every 120s, 10s timeout
✓ Graceful reconnect on broken connection
✓ Max recv message: 10 MB
✓ Unit tests for round-robin distribution
✓ Integration test: simulate 1000 concurrent requests
✓ Load test: verify no silent drops on long streams","3"
"GO-07","Agent Registry Cache","Load Postgres agent specs at startup; refresh every 30s via background goroutine","✓ Queries agents table: agent_id, system_prompt, tools[], sub_agents[], approval_required_tools[], model, memory_policy{}
✓ Caches in sync.Map keyed by agent_id
✓ Refreshes every 30s (configurable via env var)
✓ Access control: checks agent_permissions table against user roles
✓ Returns 404 if agent not found
✓ Unit tests for cache TTL and refresh logic
✓ Integration test: verify cache miss → DB query → cache hit
✓ Concurrency test: 10k goroutines fetching same agent spec","2"
"GO-08","Session History Retrieval","GET session history from Redis keyed by session_id; inject into gRPC request","✓ Queries Redis with timeout <5ms
✓ History is JSON array of conversation turns (token-bounded by Go)
✓ Injected into AgentRequest.options.history[] before gRPC call
✓ Missing key returns empty array (not error)
✓ Handles malformed JSON gracefully
✓ Unit tests for Redis hit/miss/malformed
✓ Performance test: <5ms latency at 1000 concurrent reads","1.5"
"GO-09","Memory Writer - Summary","Embed done.summary → upsert memory_summary table with user_id scope","✓ Receives DoneEvent.summary from gRPC stream
✓ Calls Ollama embedding API (OLLAMA_BASE_URL)
✓ Upserts into memory_summary(user_id, agent_id, embedding, text, created_at)
✓ Runs in separate goroutine (non-blocking)
✓ Respects memory_policy: skip if policy.summary == 'never' or (policy.summary == 'eval_ok_only' AND !eval_ok)
✓ Error handling: logs failure but doesn't fail request
✓ Unit tests for embedding + upsert logic
✓ Integration test with real Postgres + Ollama","2"
"GO-10","Memory Writer - Workflow","Embed done.dag_json → deduplicate → insert memory_workflow table (agent_id scoped)","✓ Receives DoneEvent.dag_json from gRPC stream
✓ Embeds via Ollama
✓ Deduplication: skip insert if cosine distance < 0.1 to existing row for agent_id
✓ Inserts into memory_workflow(agent_id, query_embedding, dag_json, created_at)
✓ Runs in separate goroutine (non-blocking)
✓ Respects memory_policy: skip if policy.workflow == 'never' or (policy.workflow == 'eval_ok_only' AND !eval_ok)
✓ Error handling: logs failure but doesn't fail request
✓ Unit tests for deduplication logic (cosine distance)
✓ Integration test: verify dedup threshold behavior","2.5"
